Title,Star Rating,Main Content,Review Date
Received good information on this lens…,Rated 5 out of 5 stars,"Received good information on this lens from your company.  I will be using this lens initially for viewing the eclipse, but also for wildlife photography.",2024-03-27T18:56:22.000Z
Fast and easy purchase with Paypal,Rated 5 out of 5 stars,,2024-03-27T18:26:05.000Z
Quick and easy,Rated 5 out of 5 stars,,2024-03-27T18:15:51.000Z
Great service,Rated 5 out of 5 stars,Fast checkout and great prices. I've ordered in the past and never had issues.,2024-03-27T17:52:09.000Z
Just What I Needed,Rated 5 out of 5 stars,Ink cartridges can be bought individually without hassle. Free shipping. Quick delivery. Easy-to-use website.,2024-03-27T17:27:29.000Z
Fast and easy.,Rated 5 out of 5 stars,,2024-03-27T17:14:11.000Z
Quick and easy,Rated 5 out of 5 stars,Quick and easy.  Website easy to use and pay.,2024-03-27T13:47:04.000Z
Ease of use,Rated 5 out of 5 stars,Ease of use.  Expedited shipping,2024-03-27T13:07:01.000Z
"Great deal, in stock, free shipping!",Rated 5 out of 5 stars,"Found a great deal on the product I was looking for (50% off), free shipping, and the product was in stock. Another seamless transaction and a great value from B&H. Definitely one of the top online retailers.",2024-03-27T08:56:03.000Z
I have been a customer for years,Rated 5 out of 5 stars,I have been a customer for years. B&H has never let me down.,2024-03-27T08:02:25.000Z
I knew exactly what I wanted and B&H…,Rated 5 out of 5 stars,"I knew exactly what I wanted and B&H had it available, the website was easy to use.",2024-03-27T07:33:17.000Z
Website easy to use. Trusted products.,Rated 5 out of 5 stars,Super fast to find what I needed. Great price for shipping. You sell products that people can trust.,2024-03-27T05:36:53.000Z
website works well and is organized…,Rated 5 out of 5 stars,"website works well and is organized very wellit also contains reliable and useful info about the productscompare functions could be improved, however.",2024-03-27T05:23:41.000Z
In stock items and quick shipping!,Rated 5 out of 5 stars,,2024-03-27T04:06:30.000Z
Trust The B&H,Rated 5 out of 5 stars,very fast response and fast sipping also.one day i want visit the super store..,2024-03-27T03:33:42.000Z
Seamless and quick,Rated 5 out of 5 stars,It was simple and quick to apply for a new Payboo card and have it immediately available in my cart when I checked out with items I had added from my wish list. I'd say everything took 5 minutes or less from start to finish.,2024-03-27T03:10:43.000Z
Easy to purchase,Rated 5 out of 5 stars,Super Easy to navigate and see what I need,2024-03-27T02:49:01.000Z
I have been purchasing products from…,Rated 5 out of 5 stars,I have been purchasing products from B&H for decades.  They have very competitive prices and the website is easy to navigate.  I have never had a problem working with B&H.,2024-03-27T01:44:09.000Z
Disappointed... no longer!,Rated 4 out of 5 stars,"Update: Despite the problems I experienced, B&H was quick to rectify the issues to my complete satisfaction. Thanks B&H! Original: The Payboo credit app was unable to complete verification, despite a message of success on my phone. It directed me to another website. I got suspicious and cancelled. I tried twice and gave up. Also, upon going back to my order to complete check out, a free accessory offered with one of my items was removed from my order and could not be restored.",2024-03-27T01:29:54.000Z
Very easy to do business with,Rated 5 out of 5 stars,Very easy to do business with; quick/simple to place online orders.,2024-03-27T01:28:34.000Z
"Don't ever change, B&H",Rated 5 out of 5 stars,"I'm a long-time customer (about 15 years?), and this current purchase was consistent with all of my dealings with B&H - good website navigation, concise checkout, deep selection, and competitive pricing",2024-03-27T00:06:07.000Z
Easy to order,Rated 5 out of 5 stars,"Easy to order, no sales tax, fast shipping.",2024-03-26T23:57:59.000Z
B and H has info on website,Rated 5 out of 5 stars,B and H has great information on their website and free shipping.,2024-03-26T23:43:17.000Z
It's Always Easy @ B&H,Rated 5 out of 5 stars,,2024-03-26T23:30:54.000Z
Fast and easy.,Rated 5 out of 5 stars,,2024-03-26T23:30:51.000Z
Easy and fast!,Rated 5 out of 5 stars,Easy and fast!,2024-03-26T23:25:39.000Z
Found what I needed,Rated 5 out of 5 stars,Found what I needed.  You had it in stock.  Quick turnaround on delivery.  Able to add billing address different from delivery address.,2024-03-26T23:06:57.000Z
As usual great service,Rated 5 out of 5 stars,"When no one else has what you are looking for, B&H usually does.",2024-03-26T23:01:12.000Z
Always use B&H!,Rated 5 out of 5 stars,"I have used B&H for many, many years and it has always been a great experience. The best company out there for satisfaction and great service!",2024-03-26T22:43:22.000Z
Very easy to order on line and…,Rated 5 out of 5 stars,Very easy to order on line and Excellent customer service.,2024-03-26T22:13:00.000Z
Quick and helpful response to chat.,Rated 5 out of 5 stars,,2024-03-26T22:05:22.000Z
Impeccable experience!,Rated 5 out of 5 stars,So easy to find the description for laptop that my husband was requesting! The variety of options for shipping was great and I love how user friendly is BH.,2024-03-26T22:04:28.000Z
Great website easy to order!!,Rated 5 out of 5 stars,It's always easy to find what I am looking for and easy to purchase,2024-03-26T21:45:23.000Z
Helpful and Patient!,Rated 5 out of 5 stars,As a novice shooting solar activity this is my first opportunity to experience a solar event as I live in the primary path in northern NY.  I am very excited but I have no knowledge of celestial photography.  B&H chat representative was patient and knowledgeable and assisted me in picking out a great solar filter for the kit!  I hope it's not cloudy!,2024-03-26T21:35:42.000Z
Great Service,Rated 5 out of 5 stars,"This Company is doing it all right.  Great Service, great shipping, great selection.",2024-03-26T21:31:13.000Z
Easy Payboo Card Application and Checkout,Rated 5 out of 5 stars,Applying for the Payboo credit card was an easy process and using it immmediately was even easier.  I love the 12 month deferred financing option on a larger purchase I needed for the total solar eclipse!,2024-03-26T21:07:31.000Z
Always a pleasure to shop on this site,Rated 5 out of 5 stars,"Always a pleasure to shop on this site. B&H has a great selection, and fast shipping.",2024-03-26T20:57:06.000Z
Helpful advice simplified my choices,Rated 5 out of 5 stars,Helpful advice simplified my choices . Shopping here is easy.,2024-03-26T20:48:13.000Z
Easy to find what I wanted,Rated 5 out of 5 stars,Easy to find what I wanted. Easy to order.  All information there.,2024-03-26T20:46:44.000Z
You All at B&H are very consistent.,Rated 5 out of 5 stars,You All at B&H are very consistent.Great equipment selections.,2024-03-26T20:43:12.000Z
Easy as pie,Rated 5 out of 5 stars,Easy as pie. . .,2024-03-26T20:33:55.000Z
Problms in validations,Rated 4 out of 5 stars,,2024-03-26T20:30:36.000Z
Prompts were very helpful.,Rated 5 out of 5 stars,,2024-03-26T20:01:14.000Z
I trust B&H,Rated 5 out of 5 stars,I trust B&H.  I have bought from them before.,2024-03-26T19:58:22.000Z
smooth items navigation,Rated 5 out of 5 stars,,2024-03-26T19:32:07.000Z
Well designed website,Rated 5 out of 5 stars,"Well designed website, with good safety features for payment",2024-03-26T19:27:57.000Z
Fast delivery,Rated 5 out of 5 stars,I like that delivery times are quick!,2024-03-26T19:20:15.000Z
easy as apple pie,Rated 5 out of 5 stars,,2024-03-26T19:13:35.000Z
the vendor knows the merchandise,Rated 5 out of 5 stars,Important that the vendor knows the merchandise. Online customers need accurate knowledgeable descriptions.  I get that here.,2024-03-26T19:10:46.000Z
Quick and painless checkout,Rated 5 out of 5 stars,Quick and painless checkout - very smooth!,2024-03-26T18:36:51.000Z
Found the large filters for eclipse,Rated 5 out of 5 stars,Found the large filters I needed to photograph the upcoming solar eclipse.,2024-03-26T18:34:31.000Z
Great experience,Rated 5 out of 5 stars,"Great experience, from the info presented to help make my choice to the ease of ordering itself. Well done B&H, again!",2024-03-26T18:08:29.000Z
easy to use system,Rated 5 out of 5 stars,,2024-03-26T18:07:25.000Z
Easy flow through order process,Rated 5 out of 5 stars,,2024-03-26T17:52:30.000Z
"Great experience, no complaints",Rated 5 out of 5 stars,,2024-03-26T17:45:30.000Z
easy to navigate and great pricing,Rated 5 out of 5 stars,,2024-03-26T17:44:01.000Z
5 Star Store!!!,Rated 5 out of 5 stars,"5 Star Store!!!I was able to find a couple of necessary items in the Used Department.  I've always had a good experience buying used equipment at B&H, at a substantial savings.",2024-03-26T17:20:31.000Z
intuitive website  fast service,Rated 5 out of 5 stars,,2024-03-26T17:07:02.000Z
I spent an hour trying to verify…,Rated 2 out of 5 stars,I spent an hour trying to verify information on PayBoo account. Was never able to do so and you have no assistance available to help with problems.,2024-03-26T17:02:07.000Z
The B&H website is so easy to navigate,Rated 5 out of 5 stars,The B&H website is so easy to navigate.  I found everything that I needed very fast.,2024-03-26T16:41:08.000Z
Great company to buy from,Rated 5 out of 5 stars,,2024-03-26T16:37:58.000Z
Always great service.,Rated 5 out of 5 stars,Always great service.,2024-03-26T16:04:07.000Z
Great selection as usual and from…,Rated 5 out of 5 stars,"Great selection as usual and from trusted sources! The last one (trusted sources) is getting more and more important with all knock-offs and cheap imitations that flourish the internet market.B&H are very quick to process and ship orders and if you have any questions, you get a real person to talk to who knows what they are doing!!!",2024-03-26T15:57:22.000Z
Intuitive web pages,Rated 5 out of 5 stars,"Intuitive web pages, PayPal payment option",2024-03-26T15:49:19.000Z
Based on others' reviews I was able to…,Rated 5 out of 5 stars,Based on others' reviews I was able to find the 3rd party cord to support my Phottix transmitter quite easily.,2024-03-26T15:44:56.000Z
Easy to locate needed products.,Rated 5 out of 5 stars,,2024-03-26T15:42:08.000Z
always have in stock,Rated 5 out of 5 stars,always have in stock what i need and quickly ship order out,2024-03-26T15:42:03.000Z
B&H is my go to for my photographic…,Rated 5 out of 5 stars,B&H is my go to for my photographic needs. The prices are good and the customer service is excellent.When I was in New York last April I had the opportunity to visit the store. I was like a kid in a candy store!. The store is super amazing! It is an experience that every photo enthusiast should have.,2024-03-26T15:30:12.000Z
Always a good experience,Rated 5 out of 5 stars,Always a good experience shopping on the B&H website.,2024-03-26T15:27:36.000Z
Easy to work with,Rated 5 out of 5 stars,I've been using B&H for well over 20 years and have always found them to be efficient and easy to work with.,2024-03-26T15:07:26.000Z
Flash & Cord,Rated 5 out of 5 stars,"I've purchased many items over many, many years for B&H. I've been a professional photographer for just over 40 years. Great company to work with",2024-03-26T13:43:22.000Z
I have been doing business with this…,Rated 5 out of 5 stars,I have been doing business with this company personally and in my place of business.  They have exellent customer service and have always come through with what they recommend.,2024-03-26T10:17:41.000Z
Always easy to see what's in stock,Rated 5 out of 5 stars,"Always easy to see what's in stock, simple checkout process.",2024-03-26T10:05:12.000Z
B&H is always my first choice for…,Rated 5 out of 5 stars,B&H is always my first choice for photography needs.,2024-03-26T08:18:42.000Z
Free Expedited Shipping,Rated 5 out of 5 stars,Free Expedited Shipping. Fast Shipping. Competitive Prices.,2024-03-26T06:08:54.000Z
Very smooth purchase experience,Rated 5 out of 5 stars,The purchase process is fast and very smooth. It gives all the required information in each step of the purchase. Highly recommended. Thumps up!,2024-03-26T05:50:13.000Z
Helpful in all my orders,Rated 5 out of 5 stars,Helpful and fast in shipping,2024-03-26T05:47:05.000Z
Everything is super easy to navigate…,Rated 5 out of 5 stars,Everything is super easy to navigate and the prices are incredible. I just got a 3D printer for $20 less than on Amazon.,2024-03-26T05:27:43.000Z
Available products.,Rated 5 out of 5 stars,,2024-03-26T04:58:33.000Z
easy and quick to find and order,Rated 5 out of 5 stars,,2024-03-26T04:32:59.000Z
Shopping made easy and time saving,Rated 4 out of 5 stars,Able to shop what is in stock and not so as to not waste my time.  Could compare items so I can see what would best suit my needs.  Pictures and videos linked to either promos or youtube videos helped a lot.,2024-03-26T04:01:48.000Z
I have been shopping @ B&H since 2012,Rated 5 out of 5 stars,"I have been shopping @ B&H since 2012. Never have I ever witnessed a store with such transparent policies, more than competitive pricing AND such a wide array of collection of items ready in stock. My experience has been more than awesome each time I have shopped here (I have had stuff delivered to Pakistan, Canada, and locally in the US always without a hiccup). B&H Has been and will remain my go-to place for photography shopping!",2024-03-26T03:55:15.000Z
As a hobbyist,Rated 5 out of 5 stars,"As a hobbyist, I find that everything I need is fulfilled by B&H. The pricing is reasonable as well.",2024-03-26T03:01:24.000Z
B&H is a wonderful company with which to shop,Rated 5 out of 5 stars,"B&H always has a good selection of options for whatever equipment or accessory I am seeking.  They stock multiple brands and several options for whatever level of hardware sophistication sought.  Order fulfillment is always fast and they ship asap.  Very rarely have I needed to contact customer service, but when I did they were extremely helpful and did their best to ensure I was satisfied.",2024-03-26T02:35:14.000Z
Easy to find gear in stock,Rated 5 out of 5 stars,"Easy to find gear, fast delivery.",2024-03-26T02:11:15.000Z
Fast and Easy!,Rated 5 out of 5 stars,,2024-03-26T02:03:50.000Z
always the best buying from the best,Rated 5 out of 5 stars,,2024-03-26T02:00:54.000Z
Quick and easy.,Rated 5 out of 5 stars,Quick and easy.Reliable quality,2024-03-26T01:36:33.000Z
Website is great,Rated 5 out of 5 stars,Website is great. Easy to navigate. Competitive prices and excellent delivery.,2024-03-26T01:32:02.000Z
I have been doing business with B&H for…,Rated 5 out of 5 stars,"I have been doing business with B&H for almost 50 years and your customer service, like your products, has always been and is still great! Can't say that about many companies these days.",2024-03-26T01:10:11.000Z
Easy to order and great price.,Rated 5 out of 5 stars,,2024-03-26T00:17:06.000Z
B&H always has what I need to do my job.,Rated 5 out of 5 stars,,2024-03-25T23:29:36.000Z
Super great selection and easy web site,Rated 5 out of 5 stars,,2024-03-25T23:16:41.000Z
It was easy to find the parts I was…,Rated 5 out of 5 stars,"It was easy to find the parts I was looking for; as usual, they were in stock when I needed them.",2024-03-25T23:12:54.000Z
Quick and easy experience,Rated 5 out of 5 stars,"Quick and easy experience, as always.",2024-03-25T22:47:23.000Z
has what i want,Rated 5 out of 5 stars,"has what i want, easy to buy at very good price",2024-03-25T22:43:58.000Z
"Typically, wonderful order experience",Rated 5 out of 5 stars,"Easy, fast, secure, and free shipping",2024-03-25T22:40:12.000Z
nice,Rated 4 out of 5 stars,"nice, good..",2024-03-25T22:37:22.000Z
Very easy and efficient.,Rated 5 out of 5 stars,,2024-03-25T21:56:42.000Z
Site was easy to navigate and allowed…,Rated 5 out of 5 stars,"Site was easy to navigate and allowed for all the needed information through the drop-downs. Fast, easy, complete.",2024-03-25T21:33:33.000Z
Got the answer I needed!,Rated 5 out of 5 stars,,2024-03-25T21:15:12.000Z
Always easy to use,Rated 5 out of 5 stars,,2024-03-25T21:13:57.000Z
found what i needed,Rated 4 out of 5 stars,"found what i needed, but web site could have provided a guide or info as to how to increase an order quantity on an item once it was in Cart. eventually i discovered one has to highlight the existing quantity then over type it. not immediately obvious!",2024-03-25T21:11:42.000Z
convenient and trust .,Rated 5 out of 5 stars,,2024-03-25T21:07:33.000Z
The website is just easy to use,Rated 5 out of 5 stars,The website is just easy to use; I used my gift card and had no issue adding it. I Used my Pay Boo card and saved even more.,2024-03-25T20:41:51.000Z
Fast and easy shopping experience,Rated 5 out of 5 stars,Fast and easy shopping experience. Ample product stock and availability.,2024-03-25T20:38:59.000Z
I miss the time when it wasn't so expensive,Rated 5 out of 5 stars,Rising prices are a disaster for everyone。,2024-03-25T20:37:46.000Z
EASY GETTING THE INFORMATION I NEEDED…,Rated 5 out of 5 stars,"EASY GETTING THE INFORMATION I NEEDED FOR THE ECLIPSE GLASSES, AND REALLY EASY CHECK OUT.",2024-03-25T20:25:43.000Z
Ideal transaction,Rated 5 out of 5 stars,"Easy, had what I needed and no price-gouging!  Very fair shipping charges.",2024-03-25T19:45:07.000Z
Very efficient and easy,Rated 5 out of 5 stars,,2024-03-25T19:27:32.000Z
Always easy and clear with B&H what you…,Rated 5 out of 5 stars,"Always easy and clear with B&H what you are buying and how much the total cost will be…also, delivery time is included.   v good!",2024-03-25T18:40:40.000Z
Easy navigation,Rated 5 out of 5 stars,Easy navigation!  It is always a pleasure to do business with BH Photo!  I just typed in what I was looking for and in less than 5 minutes had placed my order!,2024-03-25T18:29:51.000Z
Fast & Easy,Rated 5 out of 5 stars,Items in stock.Web site easy to use.Order process clear and efficient.,2024-03-25T18:27:55.000Z
I've been using B+H for a few years now…,Rated 5 out of 5 stars,I've been using B+H for a few years now and always found their service to be exceptionally good with fast deliveries.  Would highly recommend.,2024-03-25T17:32:24.000Z
Had what I needed,Rated 5 out of 5 stars,,2024-03-25T17:26:44.000Z
Fast and easy,Rated 5 out of 5 stars,,2024-03-25T17:23:48.000Z
Great experience,Rated 5 out of 5 stars,Fast and free shipping!,2024-03-25T17:07:41.000Z
Easy to use ordering,Rated 5 out of 5 stars,"Easy to use ordering, good item descriptions.",2024-03-25T16:57:54.000Z
Great website design and super-simple…,Rated 5 out of 5 stars,Great website design and super-simple checkout,2024-03-25T16:57:24.000Z
Safety,Rated 5 out of 5 stars,Safety. No counterfeit products.,2024-03-25T16:42:06.000Z
Excellent service,Rated 5 out of 5 stars,Easy order; best fulfillment in the business.,2024-03-25T16:20:12.000Z
Quick delivery of great products!,Rated 5 out of 5 stars,,2024-03-25T16:18:33.000Z
Website information excellent and…,Rated 5 out of 5 stars,Website information excellent and checkout procedure fast and clear. Vendor follow-up is excellent.,2024-03-25T15:24:38.000Z
Ready for Solar Eclipse,Rated 5 out of 5 stars,B&H Photo has all your photographic needs.  Easy to order on-line.  I go by the store every time I'm in NYC.  My next purchase is going to be a long telephoto lens for my upcoming trip (safari) to Africa.,2024-03-25T15:21:35.000Z
The items were in stock and are top…,Rated 5 out of 5 stars,The items were in stock and are top quality.,2024-03-25T15:06:49.000Z
I found it in seconds!,Rated 5 out of 5 stars,"I found the item I have been searching for quickly using the search feature on the web site. The information about the item was very informative and review was useful. Ordering was straightforward and quick. As usual, the experience of ordering from B & H was a pleasure.",2024-03-25T14:50:33.000Z
Lens Solar Filter,Rated 5 out of 5 stars,very easy to put the order,2024-03-25T14:13:00.000Z
Easy to find items I wanted,Rated 5 out of 5 stars,Easy to find items I wanted.  Bundle savings appreciated.,2024-03-25T13:54:24.000Z
You cannot go wrong with B and H photo video!,Rated 5 out of 5 stars,,2024-03-25T12:01:58.000Z
Always great service and great products.,Rated 5 out of 5 stars,Always find what I need and trust the quality.,2024-03-25T11:30:19.000Z
"I, JOHN KECHELE,WAS A NASA BUYER FOR 22 YEARS WHILE LEAD VIDEOGRAPHER FOR THE KSC,NASA VIDEO PURCHASES. I ALWAYS DEAALT WITH B&Hs video salesman,joel for 35n years..while noel ,ALWAYS WAS  A-1..KECH",Rated 5 out of 5 stars,"THE HONESTY AND INTEGRIKTY OF ALL/ALL....ODF THE B&H EMPLOYEES...!,,,I HAVE DEALING WITH ONLY JOEL IN THEIR VIDEO DSEPT. AND I VALUE HIM AS A TRUE BROTHER AND TRUSTED DFRIEND, FDOIR THE START OF MY PRO/MOTION AND VIDEO CAREER..SOME 55 YEARS..!!!  PLEASE TELL JOE,I RETIRED DFRO TNE ( ROCKET RANCH)...AND SHOOT FOR WHO EVER CAN AFFORD MY OUTRAGEOUS RATES...!!!...IN OTHER,,,CHEAP AT ANY PRICE...HEY BRO/JOEL...GIVER ME CALL AT 321-614-6466....any ole time,,,kech out in...!!!",2024-03-25T11:17:56.000Z
No complaints,Rated 5 out of 5 stars,"Never had any issues ordering from B&H. Good selection of products at reasonable prices, and they offer fast shipping options for free.",2024-03-25T08:27:27.000Z
I can always find what I need,Rated 5 out of 5 stars,I can always find the information and products that I need.,2024-03-25T08:20:28.000Z
Good choices and easy to order.,Rated 5 out of 5 stars,,2024-03-25T05:04:37.000Z
The Norm- great service and excellent stock,Rated 5 out of 5 stars,"As usual, I could find the things I wanted and have them shipped to me right away!",2024-03-25T02:23:27.000Z
Great website,Rated 5 out of 5 stars,"Great website, easy to find what I want, excellent shipping options",2024-03-25T02:11:00.000Z
SEAMLESS FROM START TO FINISH,Rated 5 out of 5 stars,"Selection, customer service and pretty much everything else at B&H is unparalleled in the industry. And until I have a problem that can’t be resolved, B&H has a customer for life.",2024-03-25T01:50:41.000Z
Always easy to find what I am looking…,Rated 5 out of 5 stars,Always easy to find what I am looking for and read reviews before I buy.,2024-03-25T00:56:16.000Z
Great service fair price,Rated 5 out of 5 stars,,2024-03-25T00:41:56.000Z
Quick and easy,Rated 5 out of 5 stars,Quick and easy purchase and free shipping. They deliver fast.,2024-03-25T00:04:18.000Z
Fair prices,Rated 5 out of 5 stars,"Fair prices, fast shipping. Been a customer since 1996 !",2024-03-24T23:31:43.000Z
fairly easy to navigate the site.,Rated 4 out of 5 stars,,2024-03-24T23:30:30.000Z
You had exactly what I was looking for,Rated 5 out of 5 stars,"You had exactly what I was looking for, it was in stock and at a fair price.  I will receive it in 2 days! Excellent.",2024-03-24T22:30:48.000Z
Excellent overview,Rated 5 out of 5 stars,"Excellent overview, reviews and information.Easy ordering, good experience with safe shipments",2024-03-24T21:33:10.000Z
Items easy to find and in stock,Rated 5 out of 5 stars,Items easy to find and in stock. Good prices. Very fast shipping.,2024-03-24T21:13:53.000Z
Smooth as always,Rated 5 out of 5 stars,Smooth as always. the title sats it!,2024-03-24T20:19:24.000Z
Great selection,Rated 5 out of 5 stars,"Great selection, information of items, ease of search and always a pleasure.",2024-03-24T20:14:12.000Z
Always great service,Rated 5 out of 5 stars,"Always great service. Fast. Very simple and intuitive website and ordering. Excellent communication and follow-up. Extremely knowledgable staff. Been dealing with B&H more than 20 years, never any problems or disappointments.",2024-03-24T19:48:37.000Z
I found ordering difficult,Rated 3 out of 5 stars,"I found ordering difficult.  Several small issues, one of which was trying to get my address to the right country.",2024-03-24T19:44:32.000Z
Knowledgeable staff,Rated 5 out of 5 stars,,2024-03-24T19:16:53.000Z
30+ years of satisfaction,Rated 5 out of 5 stars,Same great selection and service. 30+ years of satisfaction.,2024-03-24T19:03:57.000Z
Simple Transaction,Rated 5 out of 5 stars,The purchase was easy to complete and shipment is quick.,2024-03-24T19:02:30.000Z
Good service and prices...keep it up!,Rated 5 out of 5 stars,,2024-03-24T19:02:13.000Z
Very easy to reorder previous purchases,Rated 5 out of 5 stars,,2024-03-24T18:46:30.000Z
Had the items I needed,Rated 5 out of 5 stars,"Had the items I needed, quick and easy ordering and delivery is always quick and accurate.",2024-03-24T18:26:25.000Z
Ok near normal experience,Rated 3 out of 5 stars,"Ok near normal experienceAdapter rings were not sorted according to size.  When opened, an Epson cartridge was already in my shopping cart.",2024-03-24T18:13:18.000Z
Always the best place to buy camera…,Rated 5 out of 5 stars,Always the best place to buy camera equipment.  They have everything.,2024-03-24T18:02:40.000Z
my calll was handled efficiently and accurately,Rated 5 out of 5 stars,"Not only was my order a money saver, it was also an experience that has built upon the trust I have had in B&H for decades!  These are good guys!",2024-03-24T17:23:23.000Z
Reliable and timely!,Rated 5 out of 5 stars,,2024-03-24T17:16:02.000Z
Great website,Rated 5 out of 5 stars,"Great website, fast shipping, always a great experience!",2024-03-24T17:03:53.000Z
Excellent Website,Rated 5 out of 5 stars,Excellent Website - really good shipping and customer service - my favorite online store for both musical and computer equipment for over 20 years!,2024-03-24T17:02:00.000Z
Wish other companies were more like B&H,Rated 5 out of 5 stars,"Everything is well planned and optimized for customer satisfaction. Love the way B&H does business, wish other companies were more like it.",2024-03-24T16:49:21.000Z
I always Look to B&H for deals,Rated 5 out of 5 stars,"Easy to use web site, great price",2024-03-24T16:31:32.000Z
Item was in stock and the web site was…,Rated 5 out of 5 stars,Item was in stock and the web site was easy to use,2024-03-24T16:24:34.000Z
Web site easy to use,Rated 5 out of 5 stars,Web site easy to useItems on web are grouped logical.Can sort through the pages easily.,2024-03-24T15:59:21.000Z
Easy to navigate site,Rated 5 out of 5 stars,Numerous choices and clear explanations,2024-03-24T15:10:31.000Z
Easy ordering and paying,Rated 5 out of 5 stars,,2024-03-24T14:35:12.000Z
Great products and service!,Rated 5 out of 5 stars,Only thing coming close to website ease and support is In-Store experience!!,2024-03-22T22:42:45.000Z
Product was quick to find,Rated 5 out of 5 stars,Product was quick to find - easy to purchase - on sale!,2024-03-22T22:19:01.000Z
Great!,Rated 5 out of 5 stars,Trusted Company. Fast shipping. Thanks!!!!,2024-03-22T22:00:50.000Z
Easy to navigate the ordering system.,Rated 5 out of 5 stars,Easy to navigate the ordering system.,2024-03-22T21:52:38.000Z
Good price and fast shipping,Rated 5 out of 5 stars,Good price and fast shipping,2024-03-22T21:44:38.000Z
I was able to place my order online…,Rated 5 out of 5 stars,I was able to place my order online without any problems.,2024-03-22T21:41:48.000Z
Return customer; always pleased with B&H,Rated 5 out of 5 stars,"Easy-to-navigate website. I have bought a number of items from B&H over the years, and have always been pleased with the prices, products, responses to questions and speed of delivery.",2024-03-22T21:41:41.000Z
Solar filters,Rated 5 out of 5 stars,"Good product selection (solar filters) and good prices. Website ordering process works great, unlike many e-tailers.",2024-03-22T21:13:12.000Z
Shopping B&H Online - Easy/Peasy,Rated 5 out of 5 stars,"Took less than 90 seconds to find what I was looking for, putting it in my cart and completing checkout.  Wow!",2024-03-22T20:53:40.000Z
Easy and quick.,Rated 5 out of 5 stars,,2024-03-22T20:46:25.000Z
Web site is easy to navigate,Rated 5 out of 5 stars,"Web site is easy to navigate, items simple to find, prices are competitive.",2024-03-22T20:39:10.000Z
So quick,Rated 5 out of 5 stars,So quick. Found what I wanted and ordered in seconds.,2024-03-22T20:00:57.000Z
Very good !,Rated 5 out of 5 stars,Thank you. Excellent !,2024-03-22T19:46:20.000Z
Easy web site and fast delivery,Rated 5 out of 5 stars,,2024-03-22T19:26:11.000Z
Easy to use,Rated 5 out of 5 stars,"Easy to use, lots of info, good price.",2024-03-22T19:00:46.000Z
Fast and easy to use the site,Rated 5 out of 5 stars,,2024-03-22T18:42:55.000Z
Great choice of products,Rated 5 out of 5 stars,"Great choice of products, amazing deals and great website.",2024-03-22T17:51:21.000Z
Frictionless order,Rated 5 out of 5 stars,Easy to find and order what I needed.  Reasonable shipping!  Easy checkout.,2024-03-22T17:46:59.000Z
Always fast and easy,Rated 5 out of 5 stars,Always fast and easy.  Respect that B&H observes their religious periods.,2024-03-22T17:46:11.000Z
Your website is so easy to use,Rated 5 out of 5 stars,Your website is so easy to use. I can find exactly what I need with out spending 20 minutes looking for it.,2024-03-22T17:32:52.000Z
very easy transaction and even a little…,Rated 5 out of 5 stars,very easy transaction and even a little cheaper than Amazon.  (Sorry Mr. Bezos),2024-03-22T17:20:55.000Z
Great store and excellent service,Rated 5 out of 5 stars,"Excellent website, fast, accurate and effective. Great prices, great customer service, and website is easy to explore and buy your items.",2024-03-22T15:42:21.000Z
Happy to find a company that still…,Rated 5 out of 5 stars,Happy to find a company that still sells orthochromatic 4x5 film.  You will get all my orders for B&W high contrast film.,2024-03-22T15:13:39.000Z
Always great to deal with.,Rated 5 out of 5 stars,,2024-03-22T14:54:48.000Z
you have it,Rated 4 out of 5 stars,"you had what i was looking for , thank you",2024-03-22T13:59:06.000Z
Good service,Rated 5 out of 5 stars,"Good service, competitive prices, fast free shipping.",2024-03-22T13:50:10.000Z
Excellent prices and shipping options.,Rated 5 out of 5 stars,Excellent price and option for shipping to Canada with duties pre-paid. Site is very easy to navigate and locate items.,2024-03-22T09:47:19.000Z
B&H has been great to deal with now for…,Rated 5 out of 5 stars,B&H has been great to deal with now for over ten years.,2024-03-22T08:16:54.000Z
Excellent,Rated 5 out of 5 stars,"Excellent, as usual.",2024-03-22T07:46:30.000Z
This is one of the best sites for electronics and related accessories,Rated 5 out of 5 stars,This is one of the best sites for purchasing electronics and related equipment.  They have a vast selection and very competitive prices.,2024-03-22T07:00:34.000Z
Had the specialty items I needed,Rated 5 out of 5 stars,Had the specialty items I needed - in stock,2024-03-22T05:35:36.000Z
Best internet Photo site experience,Rated 5 out of 5 stars,,2024-03-22T04:38:44.000Z
Good info on the web site.,Rated 5 out of 5 stars,,2024-03-22T03:26:18.000Z
WHAT WENT WRONG THIS TIME?! Paypal,Rated 1 out of 5 stars,"WHAT WENT WRONG THIS TIME?!? PAYPAL!!!Yes, paypal would NOT let me ship this- despite me adding my friend's address to my paypal account.YES, PAYPAL SUCKS! Purim or not! I hope y'all actually send this out BEFORE y'all close down for your holiday. Thank you but I (STILL) don't like being asked to rate something BEFORE item is received.",2024-03-22T02:13:31.000Z
Best online photo supplier,Rated 5 out of 5 stars,"In-stock notification happened as promised, and the order was completed 5 minutes later. Best photo supplier around, and the first place I check for anything photo-related.",2024-03-22T02:09:12.000Z
Had what I needed and very quick and…,Rated 5 out of 5 stars,Had what I needed and very quick and easy check out.,2024-03-22T01:58:37.000Z
